VERIFICACAO;2025;2024;2023;2022;2021;2020;2019
D1_00001;T;T;T;T;T;T;T
D1_00002;T;T;T;T;T;T;T
D1_00003;T;T;T;T;T;T;T
D1_00004;T;T;T;T;T;T;T
D1_00005;E;E;E;E;E;E;E
D1_00006;T;T;T;T;T;T;T
D1_00007;T;T;T;T;T;T;T
D1_00008;T;T;T;T;T;T;T
D1_00009;T;T;T;T;T;T;T
D1_00010;E;E;E;E;E;E;E
D1_00011;T;T;T;T;T;T;T
D1_00012;T;T;T;T;T;T;T
D1_00013;T;T;T;T;T;T;T
D1_00014;T;T;T;T;T;T;T
D1_00015;E;E;E;E;E;E;E
D1_00016;T;T;T;T;T;T;
D1_00017;;;T;T;T;T;
D1_00018;;;T;T;T;T;
D1_00019;T;T;T;T;T;T;
D1_00020;T;T;T;T;T;T;
D1_00021;T;T;T;T;T;;
D1_00022;T;T;T;T;T;;
D1_00023;T;T;T;T;T;;
D1_00024;T;T;T;T;T;;
D1_00025;T;T;T;T;;;
D1_00026;T;T;T;T;;;
D1_00027;T;T;T;T;;;
D1_00028;T;T;T;T;;;
D1_00029;T;T;T;T;;;
D1_00030;T;T;T;T;;;
D1_00031;T;T;T;T;;;
D1_00032;T;T;T;T;;;
D1_00033;T;T;T;T;;;
D1_00034;T;T;T;;;;
D1_00035;T;T;T;;;;
D1_00036;T;T;T;;;;
D1_00037;T;T;;;;;
D1_00038;T;T;;;;;
D1_00039;T;;;;;;
D1_00040;T;;;;;;
D1_00041;T;;;;;;
D1_00042;T;;;;;;
D1_00043;T;;;;;;
D1_00044;T;;;;;;
D2_00001;;;;;T;T;T
D2_00002;T;T;T;T;T;T;T
D2_00003;T;T;T;T;T;T;T
D2_00004;T;T;T;T;T;T;T
D2_00005;T;T;T;T;T;T;T
D2_00006;T;T;T;T;T;T;T
D2_00007;T;T;T;T;T;T;T
D2_00008;T;T;T;T;T;T;T
D2_00010;T;T;T;T;T;T;T
D2_00011;T;T;T;T;T;T;T
D2_00012;T;T;T;T;T;T;T
D2_00013;T;T;T;T;T;T;T
D2_00014;T;T;T;T;T;T;T
D2_00015;T;T;T;T;T;T;T
D2_00016;T;T;T;T;E;E;E
D2_00017;T;T;T;T;E;E;E
D2_00018;T;T;T;T;T;T;E
D2_00019;T;T;T;T;T;T;T
D2_00020;T;T;T;T;E;E;E
D2_00021;T;T;T;T;T;T;E
D2_00022;;;;;T;T;T
D2_00023;T;T;T;T;T;T;T
D2_00024;T;T;T;T;T;T;T
D2_00028;T;T;T;T;T;T;T
D2_00029;T;T;T;T;T;T;T
D2_00030;T;T;T;T;T;T;T
D2_00031;T;T;T;T;T;T;T
D2_00032;T;T;T;T;T;T;T
D2_00033;T;T;T;T;T;T;T
D2_00034;T;T;T;T;T;T;
D2_00035;T;T;T;T;T;T;
D2_00036;T;T;E;E;E;E;
D2_00037;T;T;T;T;E;E;
D2_00038;;;E;E;E;E;
D2_00039;T;T;T;T;T;T;
D2_00040;T;T;T;T;T;T;
D2_00043;;;;;T;T;
D2_00044;T;T;T;T;T;T;
D2_00045;E;E;E;E;E;E;
D2_00046;M;M;M;M;M;M;
D2_00047;E;E;E;E;E;E;
D2_00048;M;M;M;M;M;M;
D2_00049;T;T;T;T;T;T;
D2_00050;T;T;T;T;T;T;
D2_00051;T;T;T;T;;;
D2_00052;T;T;T;T;;;
D2_00053;T;T;T;T;;;
D2_00054;T;T;T;T;;;
D2_00055;T;T;T;T;;;
D2_00058;T;T;T;T;;;
D2_00059;T;T;T;T;;;
D2_00060;T;T;T;T;;;
D2_00061;T;T;T;T;;;
D2_00066;T;T;T;T;;;
D2_00067;T;T;T;T;;;
D2_00068;T;T;T;T;;;
D2_00069;T;T;T;T;;;
D2_00070;T;T;T;T;;;
D2_00071;T;T;T;T;;;
D2_00072;T;T;T;T;;;
D2_00073;T;T;T;T;;;
D2_00074;T;T;T;T;;;
D2_00076;T;T;T;;;;
D2_00077;;;T;;;;
D2_00079;T;T;T;;;;
D2_00080;;;T;;;;
D2_00081;T;T;T;;;;
D2_00082;T;T;T;;;;
D2_00083;T;T;T;;;;
D2_00084;T;T;T;;;;
D2_00085;T;T;T;;;;
D2_00086;T;T;;;;;
D2_00087;T;T;;;;;
D2_00088;T;T;;;;;
D2_00089;T;T;;;;;
D2_00093;T;T;;;;;
D2_00094;T;T;;;;;
D2_00095;T;T;;;;;
D2_00097;T;T;;;;;
D2_00099;M;M;;;;;
D2_00100;T;;;;;;
D2_00101;T;;;;;;
D2_00102;T;;;;;;
D2_00103;T;;;;;;
D2_00104;T;;;;;;
D2_00105;M;;;;;;
D2_00106;E;;;;;;
D3_00001;T;T;T;T;T;T;T
D3_00002;T;T;T;T;T;T;T
D3_00003;;;;T;T;T;T
D3_00005;T;T;T;T;T;T;T
D3_00006;T;T;T;T;T;T;T
D3_00007;;;;T;T;T;T
D3_00008;T;T;T;T;T;T;T
D3_00009;T;T;T;T;T;T;T
D3_00010;T;T;T;T;T;T;T
D3_00011;T;T;T;T;T;T;T
D3_00012;T;T;T;T;T;T;T
D3_00013;T;T;T;T;T;T;T
D3_00014;T;T;T;T;T;T;
D3_00015;T;T;T;T;T;T;
D3_00016;T;T;T;T;T;T;
D3_00017;T;T;T;;;;
D3_00021;T;T;T;;;;
D3_00022;T;T;T;;;;
D3_00023;T;T;T;;;;
D3_00024;T;T;T;;;;
D3_00025;T;T;T;;;;
D3_00026;T;T;T;;;;
D3_00027;T;T;T;;;;
D3_00028;T;T;T;;;;
D3_00029;T;T;;;;;
D3_00030;T;T;;;;;
D3_00032;T;T;;;;;
D3_00033;T;T;;;;;
D3_00034;T;T;;;;;
D3_00035;T;T;;;;;
D3_00037;T;T;;;;;
D3_00038;T;T;;;;;
D3_00039;T;T;;;;;
D3_00040;T;T;;;;;
D3_00044;T;T;;;;;
D3_00045;T;T;;;;;
D3_00046;T;;;;;;
D3_00047;T;;;;;;
D3_00048;T;;;;;;
D3_00049;T;;;;;;
D3_00050;T;;;;;;
D3_00051;T;;;;;;
D3_00052;T;;;;;;
D3_00053;T;;;;;;
D3_00054;T;;;;;;
D3_00055;T;;;;;;
D4_00001;T;T;T;T;T;T;T
D4_00002;T;T;T;T;T;T;T
D4_00003;T;T;T;T;T;T;T
D4_00004;T;T;T;T;T;T;T
D4_00005;T;T;T;T;T;T;T
D4_00006;T;T;T;T;T;T;T
D4_00007;T;T;T;T;T;T;T
D4_00008;;;;;T;T;T
D4_00009;E;E;E;E;E;E;E
D4_00010;M;M;M;M;M;M;M
D4_00011;E;E;E;E;E;E;E
D4_00012;M;M;M;M;M;M;M
D4_00013;;;;E;E;E;E
D4_00014;;;;M;M;M;M
D4_00015;;;;E;E;E;E
D4_00016;;;;M;M;M;M
D4_00017;T;T;T;T;T;T;
D4_00019;T;T;T;T;T;T;
D4_00020;T;T;T;T;T;T;
D4_00021;E;E;E;E;E;E;
D4_00022;M;M;M;M;M;M;
D4_00023;E;E;E;E;E;E;
D4_00024;M;M;M;M;M;M;
D4_00025;T;T;T;T;T;T;
D4_00026;T;T;T;T;T;T;
D4_00027;T;T;T;T;;;
D4_00028;T;T;T;T;;;
D4_00029;T;T;T;T;;;
D4_00030;T;T;T;T;;;
D4_00031;T;T;T;T;;;
D4_00032;T;T;T;T;;;
D4_00033;T;T;T;T;;;
D4_00034;T;T;T;T;;;
D4_00035;T;T;T;T;;;
D4_00036;T;T;T;T;;;
D4_00037;E;E;E;;;;
D4_00038;M;M;M;;;;
D4_00039;E;E;E;;;;
D4_00040;M;M;M;;;;
D4_00041;T;T;T;;;;
D4_00042;T;T;;;;;
D4_00043;T;T;;;;;
D4_00045;T;T;;;;;
D4_00046;T;;;;;;
D4_00047;T;;;;;;
